abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
OR,Oregon,7,4,3,10,15,14,20,23,19,7,24,12,25,5,12,19,25,12,9,9,22,18,4,2,25,16,18,7,18,22,16,25,11,4,18,16,23,N/A,8,18,19,14,11,15,12,12,1,5,19,6,14,693,837
PA,Pennsylvania,19,9,16,16,14,14,18,9,19,23,0,5,4,20,23,5,4,13,2,21,22,21,0,12,17,3,4,7,21,25,25,1,9,19,10,24,22,11,N/A,1,21,25,0,25,2,24,4,7,15,0,22,653,1090
RI,Rhode Island,8,9,19,4,23,24,25,1,15,8,4,5,1,4,7,4,14,12,20,6,7,0,1,8,21,17,4,23,9,20,18,24,7,13,4,10,14,1,5,N/A,1,14,1,6,7,14,12,9,10,22,21,536,755
SC,South Carolina,23,17,25,20,5,16,20,16,16,4,25,5,6,11,6,0,1,5,5,10,6,16,20,25,4,7,4,6,8,2,21,4,0,16,18,12,5,20,24,15,N/A,7,20,5,20,2,16,3,17,11,24,594,857
SD,South Dakota,10,3,14,12,5,20,4,6,13,22,12,11,25,6,10,4,1,20,9,20,25,10,23,22,14,2,4,6,18,1,22,20,2,19,15,20,22,3,9,24,5,N/A,19,7,15,24,1,24,14,8,14,639,912
TN,Tennessee,1,18,14,3,0,2,13,13,19,19,4,0,3,22,14,3,18,11,18,21,21,19,1,0,12,21,2,24,8,16,25,4,5,15,16,7,22,12,12,25,22,1,N/A,18,1,21,14,24,3,23,20,630,991
TX,Texas,268,3,367,325,86,208,252,64,55,365,286,41,113,491,413,336,238,376,289,124,6,149,28,175,38,98,148,133,448,29,126,0,268,286,275,7,165,150,383,146,223,197,328,N/A,100,335,479,144,218,474,151,10407,740
UT,Utah,1,15,23,2,22,4,7,1,4,0,0,17,7,0,7,12,24,19,12,8,22,12,25,10,18,22,2,22,18,14,13,2,16,1,25,10,1,8,21,22,12,23,21,20,N/A,4,22,16,15,23,19,644,795
VT,Vermont,5,4,13,1,17,17,24,4,10,19,4,5,7,3,4,9,25,2,11,2,8,16,5,20,20,2,22,19,5,23,4,9,5,5,4,20,21,23,17,17,21,6,12,6,1,N/A,8,13,6,11,17,552,951
VA,Virginia,16,12,22,22,1,25,3,23,17,22,6,15,6,6,10,19,8,9,25,12,10,3,23,12,18,10,16,23,18,23,19,14,16,22,9,0,16,24,12,8,7,10,19,0,12,24,N/A,25,15,18,8,713,1086
WA,Washington,4,13,23,5,21,10,5,21,6,5,1,17,0,17,22,19,3,23,2,24,1,5,10,19,22,12,14,16,21,22,8,11,11,16,20,19,4,21,6,18,2,3,24,25,9,13,9,N/A,11,18,25,656,748
WV,West Virginia,14,20,17,23,6,25,13,4,0,18,5,22,21,25,13,11,0,25,8,5,17,17,10,16,23,10,6,18,8,16,20,1,0,2,3,7,8,21,13,24,13,21,17,3,9,5,20,5,N/A,20,22,650,786
WI,Wisconsin,13,25,9,4,5,1,10,22,0,12,1,24,16,10,24,9,15,17,24,6,23,25,4,12,18,8,9,16,18,6,10,19,22,14,18,16,2,2,25,1,5,7,0,8,24,10,3,10,11,N/A,20,613,1096
WY,Wyoming,18,6,10,12,25,8,22,19,16,13,9,8,1,13,8,23,6,0,14,2,13,0,20,1,21,13,3,15,21,3,4,20,20,8,8,13,10,22,14,24,22,22,21,6,23,4,11,6,23,0,N/A,624,822
